"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAddAssignment.js", "JavaScript", 92, 0, 5, 97
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAddVideo.js", "JavaScript", 137, 8, 9, 154
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAssignment.js", "JavaScript", 44, 0, 4, 48
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminDashboard.js", "JavaScript", 82, 0, 10, 92
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminEditAssignment.js", "JavaScript", 145, 0, 9, 154
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminEditVideo.js", "JavaScript", 184, 0, 12, 196
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminLogin.js", "JavaScript", 12, 0, 3, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminQuizzes.js", "JavaScript", 8, 0, 3, 11
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminVideos.js", "JavaScript", 37, 0, 5, 42
"Total", "-", 741, 8, 60, 809
